title,original_price,special_price,meta_score,meta_reviews,user_score,user_reviews,release_date,publisher,genre
A Juggler's Tale,22.5,2.25,69,9,7.2,17,29-09-2021,Mixtvision,2D Platformer
Fall of Porcupine,29.5,11.8,72,16,6.8,6,15-06-2023,Assemble Entertainment,Adventure
The Way Remastered,23.99,1.5,63,9,6.7,84,20-04-2018,Puzzling Dream,2D Platformer
FUN! FUN! Animal Park,45.0,4.5,,,,,28-03-2019,Aksys Games,Party
My Universe - School Teacher,60.0,12.0,,,,,03-11-2020,Microids,Edutainment
Subway Simulator - Underground Train Ride Station Ultimate Driving Games,19.99,1.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hair Dye: Complete Edition,9.0,3.0,,,,,05-04-2024,QubicGames,Virtual Career
Pine Hearts,29.99,26.99,84,7,9.0,4,23-05-2024,Little Nook,Open-World Action
Mars Farming 2034,15.0,4.5,,,,,10-05-2024,DEMENCI Games,Sandbox
Figment 2: Creed Valley,36.99,11.09,76,13,6.1,17,09-03-2023,Bedtime Digital Games,Action Adventure
Adventure Time: Pirates of the Enchiridion,37.5,15.0,62,13,6.2,40,17-07-2018,Outright Games,JRPG
ACA NEOGEO SAMURAI SHODOWN V,10.5,5.25,58,29,,,18-01-2006,SNK Playmore,2D Fighting
Neon Abyss Deluxe Edition,39.95,9.98,74,12,6.5,63,14-07-2020,Veewo Games,2D Platformer
Ship Simulator,19.99,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blazing Beaks + Badland Game of the Year Edition,31.5,2.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pan'orama,30.0,12.0,,,,,14-12-2023,Awaken Realms,Puzzle
Highlaundry Overwashed - Play with your friends!,12.99,1.99,,,,,31-10-2023,Midnight Works,Party
Motorcycle Driving Simulator-Dirt & Parking 2022 Racing Games Ultimate 4x4 City Offroad Kart,29.99,1.99,,,,,18-07-2022,INSTAMARKETINGANDGAME,Auto Racing
CMS,24.99,2.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cattails: Wildwood Story,28.99,14.49,,,,,20-10-2023,Falcon Development,Virtual Life
Bowling Fever,15.0,1.5,,,,,25-12-2023,Baltoro Minis,Bowling
Tokyo Cooking,25.5,7.49,,,,,17-05-2024,RedDeerGames,Action
Equestrian Training,52.5,26.25,,,,,24-06-2021,Microids,Edutainment
Before We Leave,27.99,6.99,72,21,7.3,40,13-05-2021,Team17,Management
ACA NEOGEO CYBER-LIP,10.5,5.25,,,,,04-12-2018,Hamster,2D Platformer
Observer,45.0,6.75,78,45,7.6,331,15-08-2017,Aspyr,First-Person Adventure
Train Traffic Manager Premium Edition,24.75,1.5,,,,,24-11-2023,Baltoro Games,Action Puzzle
Urban Flow Traffic Tycoon,26.25,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kebab Bar Tycoon Premium Edition,9.75,1.5,,,,,25-12-2023,Baltoro Games,Tycoon
Forklift Simulator 2024,19.99,1.99,,,,,09-02-2024,DEZVOLT GAMES,Vehicle Sim
SUSHI Race,7.4,5.92,,,,,23-05-2024,SAT-BOX,Action
Sky Games,19.99,1.5,,,,,27-12-2021,Prison Games,Party
Om Nom: Run - Ultimate Edition,9.0,3.0,,,,,05-11-2021,QubicGames,3D Platformer
RichMan 11,27.0,18.9,,,,,19-04-2024,EastAsiaSoft,Board
My Brother Rabbit,22.5,2.25,78,7,7.5,10,21-09-2018,Artifex Mundi,Hidden Object
My Little Universe: Complete Edition,24.0,16.8,,,,,05-10-2023,SayGames,Sandbox
